City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
153,Maniitsoq,GL,65.4167,-52.9,36.68,55,19,1.25,few clouds
154,Lebu,CL,-37.6167,-73.65,56.71,58,0,10.33,clear sky
155,Bengkulu,ID,-3.8004,102.2655,75.58,90,99,2.98,light rain
156,Jaguarari,BR,-10.2639,-40.1958,91.02,25,84,8.7,broken clouds
157,Yinchuan,CN,38.4681,106.2731,57.87,61,18,3.69,few clouds
158,Shumskiy,RU,54.8318,99.1328,36.81,75,100,6.11,overcast clouds
159,Naze,JP,28.3667,129.4833,76.44,72,81,14.36,broken clouds
160,Broome,US,42.2506,-75.833,75.63,66,40,1.01,scattered clouds
161,Waddan,LY,29.1614,16.139,83.57,18,0,6.2,clear sky
162,Kharp,RU,66.8014,65.8081,43.97,90,100,12.08,light rain
163,Moron,AR,-34.6534,-58.6198,65.01,41,0,1.99,clear sky
164,Porto Belo,BR,-27.1578,-48.5531,67.98,74,100,14.25,overcast clouds
165,Bathsheba,BB,13.2167,-59.5167,86.61,79,75,21.85,broken clouds
166,Chicama,PE,-7.8447,-79.1469,63.14,61,76,11.27,broken clouds
167,Santiago Tuxtla,MX,18.4667,-95.3,80.89,67,98,10.92,overcast clouds
168,Bubaque,GW,11.2833,-15.8333,84.13,71,91,4.14,overcast clouds
169,Noumea,NC,-22.2763,166.4572,57.18,74,16,8.08,few clouds
170,Saint-Philippe,RE,-21.3585,55.7679,69.39,78,99,8.52,light rain
171,Saint George,US,37.1041,-113.5841,75.67,48,98,1.01,overcast clouds
172,Nago,JP,26.5881,127.9761,81.45,70,87,13.8,overcast clouds
173,Dzaoudzi,YT,-12.7887,45.2699,78.69,78,20,8.05,few clouds
174,Port Shepstone,ZA,-30.7414,30.455,68.34,87,100,29.08,overcast clouds
175,Pringsewu,ID,-5.3582,104.9744,73.72,90,22,5.35,few clouds
176,Hovd,MN,48.0056,91.6419,29.34,33,0,4.7,clear sky
177,Kavieng,PG,-2.5744,150.7967,80.47,78,27,4.81,scattered clouds
178,Upernavik,GL,72.7868,-56.1549,26.64,47,10,4.61,clear sky
179,Dubti,ET,11.7361,41.0853,96.13,30,44,13.2,scattered clouds
180,Taltal,CL,-25.4,-70.4833,61.39,72,94,6.29,overcast clouds
181,Broken Hill,AU,-31.95,141.4333,51.51,40,7,6.91,clear sky
182,Tiznit,MA,29.5833,-9.5,76.26,40,37,5.41,scattered clouds
183,Aykhal,RU,66.0,111.5,20.88,97,99,5.84,overcast clouds
184,Koslan,RU,63.4564,48.8989,43.95,73,5,12.53,clear sky
185,Albino,IT,45.7638,9.7964,61.47,70,75,2.3,broken clouds
186,Filingue,NE,14.3521,3.3168,97.95,14,88,4.03,overcast clouds
187,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,30.79,80,40,4.47,scattered clouds
188,Kuytun,RU,54.3419,101.5036,32.25,71,66,4.59,broken clouds
189,Trincomalee,LK,8.5711,81.2335,81.81,75,99,15.12,overcast clouds
190,Loa Janan,ID,-0.583,117.095,74.01,98,14,2.64,few clouds
191,Neuquen,AR,-38.9516,-68.0591,67.89,22,0,12.66,clear sky
192,Boa Vista,BR,2.8197,-60.6733,94.98,41,75,6.91,broken clouds
193,Usinsk,RU,65.9939,57.5281,47.3,72,100,18.41,overcast clouds
194,San Jose De Guanipa,VE,8.8872,-64.1651,89.89,47,37,9.06,scattered clouds
195,Labuan,MY,5.2767,115.2417,82.76,83,20,1.99,few clouds
196,Maracaju,BR,-21.6144,-55.1683,72.18,92,100,6.46,overcast clouds
197,Dicabisagan,PH,17.0818,122.4157,78.13,88,100,4.32,overcast clouds
198,Petropolis,RU,59.8944,30.2642,52.11,59,0,4.47,clear sky
199,Tasiilaq,GL,65.6145,-37.6368,35.76,50,5,5.73,clear sky
200,Linqiong,CN,30.4159,103.4609,64.22,89,79,2.62,broken clouds
201,Faanui,PF,-16.4833,-151.75,78.24,75,22,10.07,few clouds
202,Trairi,BR,-3.2778,-39.2689,85.78,59,53,14.99,broken clouds
203,Madras,IN,13.0878,80.2785,85.98,84,75,6.91,mist
204,Takoradi,GH,4.8845,-1.7554,79.07,84,78,6.87,broken clouds
205,Airai,TL,-8.9266,125.4092,60.33,68,81,2.19,broken clouds
206,Sinnamary,GF,5.3833,-52.95,86.14,67,86,12.82,overcast clouds
207,Fershampenuaz,RU,53.5202,59.8117,40.77,74,7,4.14,clear sky
208,Chino Valley,US,34.7575,-112.4538,74.37,54,1,1.99,clear sky
209,Kaga,JP,36.2997,136.3145,69.73,83,75,2.3,broken clouds
210,Babstovo,RU,48.1167,132.4833,40.96,71,50,5.03,scattered clouds
211,Mount Gambier,AU,-37.8333,140.7667,42.71,100,99,11.5,overcast clouds
212,Tuatapere,NZ,-46.1333,167.6833,47.82,94,99,3.36,overcast clouds
213,Okhotsk,RU,59.3833,143.3,25.75,77,8,8.88,clear sky
214,Gamba,GA,-2.65,10.0,76.5,81,83,7.18,broken clouds
215,Weinan,CN,34.5036,109.5089,58.69,91,41,3.6,light rain
216,Bagdarin,RU,54.4333,113.6,26.94,65,72,2.75,broken clouds
217,Kavaratti,IN,10.5669,72.642,81.91,79,84,7.63,broken clouds
218,Camalu,MX,30.85,-116.0667,71.42,67,100,7.4,overcast clouds
219,Maceio,BR,-9.6658,-35.7353,87.24,58,75,12.66,broken clouds
220,Atchison,US,39.563,-95.1216,76.48,50,35,3.91,scattered clouds
221,Kilindoni,TZ,-7.9139,39.6668,78.24,80,5,12.33,clear sky
222,Agirish,RU,61.9247,63.0231,42.49,75,18,11.83,few clouds
223,Meadow Lake,US,34.8014,-106.5436,76.71,46,100,7.9,overcast clouds
224,Puerto Baquerizo Moreno,EC,-0.9,-89.6,74.39,78,75,17.27,broken clouds
225,Sitka,US,57.0531,-135.33,48.09,66,75,20.71,light rain
226,Bitung,ID,1.4451,125.1824,76.05,84,39,12.35,scattered clouds
227,Santa Barbara,US,34.7333,-120.0343,68.14,72,75,3.44,broken clouds
228,Nemuro,JP,43.3236,145.575,51.96,87,100,10.51,overcast clouds
229,Russell,US,32.3502,-85.1999,79.97,84,75,5.75,broken clouds
