City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
84,Hurricane,US,2021-10-04 15:18:36,37.1753,-113.2899,68.34,34,22,5.19
85,Cherskiy,RU,2021-10-04 15:18:36,68.75,161.3,18.01,99,93,7.63
86,Cape Town,ZA,2021-10-04 15:17:58,-33.9258,18.4232,73.11,40,0,5.99
87,Beringovskiy,RU,2021-10-04 15:18:37,63.05,179.3167,39.33,98,100,19.95
88,Rodrigues Alves,BR,2021-10-04 15:18:37,-7.738,-72.6509,89.8,48,98,3.09
89,Cheney,US,2021-10-04 15:16:38,47.4874,-117.5758,50.63,81,75,8.05
90,Provideniya,RU,2021-10-04 15:18:38,64.3833,-173.3,35.49,99,100,10.29
91,Vaini,TO,2021-10-04 15:18:38,-21.2,-175.2,75.36,88,75,6.91
92,Vila Franca Do Campo,PT,2021-10-04 15:18:38,37.7167,-25.4333,73.81,78,100,6.42
93,San Patricio,US,2021-10-04 15:18:39,28.017,-97.5169,84.29,71,98,8.32
94,East London,ZA,2021-10-04 15:18:39,-33.0153,27.9116,56.34,88,20,5.75
95,Kavieng,PG,2021-10-04 15:18:39,-2.5744,150.7967,81.32,75,91,1.21
96,Pevek,RU,2021-10-04 15:18:39,69.7008,170.3133,26.8,88,98,11.3
97,Dudinka,RU,2021-10-04 15:18:40,69.4058,86.1778,30.97,98,100,14.5
98,Aykhal,RU,2021-10-04 15:18:40,66.0,111.5,26.42,91,89,8.14
99,Lata,PT,2021-10-04 15:18:40,40.1629,-8.3327,71.08,51,87,8.43
100,Komsomolskiy,UZ,2021-10-04 15:17:35,40.4272,71.7189,57.92,58,7,0.0
101,Chunhuhub,MX,2021-10-04 15:18:41,19.55,-88.6833,81.55,77,85,3.4
102,Neiafu,TO,2021-10-04 15:17:07,-18.65,-173.9833,74.08,94,75,10.36
103,Ballina,AU,2021-10-04 15:18:41,-28.8667,153.5667,66.38,45,0,13.47
104,Punta Arenas,CL,2021-10-04 15:16:59,-53.15,-70.9167,46.51,57,40,28.77
105,Brookings,US,2021-10-04 15:15:34,44.3114,-96.7984,68.38,82,1,0.0
106,Vao,NC,2021-10-04 15:18:42,-22.6667,167.4833,69.93,84,0,12.03
107,Georgiyevskoye,RU,2021-10-04 15:18:42,58.731,45.024,44.83,83,100,4.79
108,Palmer,US,2021-10-04 15:18:42,42.1584,-72.3287,60.48,84,90,1.99
109,Newcastle,AU,2021-10-04 15:14:59,-32.9272,151.7765,64.71,50,0,1.01
110,Zyryanovsk,KZ,2021-10-04 15:18:43,49.7386,84.2719,38.5,88,100,3.24
111,Sao Filipe,CV,2021-10-04 15:18:43,14.8961,-24.4956,82.35,75,21,6.69
112,Port Elizabeth,ZA,2021-10-04 15:18:43,-33.918,25.5701,60.1,72,20,11.5
113,Asau,RO,2021-10-04 15:18:44,46.4333,26.4,61.75,56,95,4.27
114,Siguiri,GN,2021-10-04 15:18:44,11.6667,-9.5,91.92,45,97,4.72
115,Owando,CG,2021-10-04 15:18:44,-0.4819,15.8999,85.06,59,44,3.94
116,Fortuna,US,2021-10-04 15:18:45,40.5982,-124.1573,50.36,60,90,0.0
117,Port Macquarie,AU,2021-10-04 15:18:45,-31.4333,152.9167,60.76,47,1,6.15
118,Hobart,AU,2021-10-04 15:18:45,-42.8794,147.3294,49.86,86,40,1.01
119,Upernavik,GL,2021-10-04 15:18:10,72.7868,-56.1549,30.07,75,44,5.17
120,Bajil,YE,2021-10-04 15:18:46,15.0584,43.2851,90.86,51,89,9.06
121,Anchorage,US,2021-10-04 15:13:49,61.2181,-149.9003,33.19,83,1,4.0
122,Karratha,AU,2021-10-04 15:18:46,-20.7377,116.8463,72.63,64,0,12.97
